country,iso,yearstart,yearend,region,subregion,numberofabortions,abortionrate,perc_p_ending_in_a,spontaneous,datatype,datasource,complete,classification,modelused,marriedonly,notes
Albania,8,1998,1998,Europe and Northern America,Southern Europe,12679,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,1999,1999,Europe and Northern America,Southern Europe,13951,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,1999,1999,Europe and Northern America,Southern Europe,19930,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2000,2000,Europe and Northern America,Southern Europe,21004,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2000,2000,Europe and Northern America,Southern Europe,9869,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2001,2001,Europe and Northern America,Southern Europe,17125,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2001,2001,Europe and Northern America,Southern Europe,9122,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2002,2002,Europe and Northern America,Southern Europe,17500,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2002,2002,Europe and Northern America,Southern Europe,8756,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2003,2003,Europe and Northern America,Southern Europe,6890,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2003,2003,Europe and Northern America,Southern Europe,12087,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2004,2004,Europe and Northern America,Southern Europe,10517,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2004,2004,Europe and Northern America,Southern Europe,6890,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2005,2005,Europe and Northern America,Southern Europe,4647,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2005,2005,Europe and Northern America,Southern Europe,9403,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2006,2006,Europe and Northern America,Southern Europe,9552,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2006,2006,Europe and Northern America,Southern Europe,4513,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2007,2007,Europe and Northern America,Southern Europe,9030,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2007,2007,Europe and Northern America,Southern Europe,4076,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2008,2008,Europe and Northern America,Southern Europe,3927,,,No,Official Statistics,Guttmacher Questionnaire (publicly available),Incomplete,Below survey of women,,,
Albania,8,2008,2008,Europe and Northern America,Southern Europe,8335,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Albania,8,2008,2008,Europe and Northern America,Southern Europe,3927,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
Albania,8,2009,2009,Europe and Northern America,Southern Europe,8139,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Albania,8,2009,2009,Europe and Northern America,Southern Europe,3675,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
Albania,8,2008,2009,Europe and Northern America,Southern Europe,,8.4,,No,Survey,Chae et al 2017a,,,Yes,All women,
Albania,8,2009,2009,Europe and Northern America,Southern Europe,3554,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
Albania,8,2010,2010,Europe and Northern America,Southern Europe,2267,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
Albania,8,2010,2010,Europe and Northern America,Southern Europe,2636,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
Albania,8,2010,2010,Europe and Northern America,Southern Europe,6919,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Albania,8,2011,2011,Europe and Northern America,Southern Europe,7042,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Albania,8,2011,2011,Europe and Northern America,Southern Europe,2395,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,,,
Albania,8,2011,2011,Europe and Northern America,Southern Europe,1885,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Below survey of women,Yes,,
Albania,8,2012,2012,Europe and Northern America,Southern Europe,1766,,,No,Official Statistics,Institute of Statistics and Albania Ministry of Health,Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2012,2012,Europe and Northern America,Southern Europe,2031,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Albania,8,2012,2012,Europe and Northern America,Southern Europe,2699,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Albania,8,2012,2012,Europe and Northern America,Southern Europe,6755,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2013,2013,Europe and Northern America,Southern Europe,1457,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Albania,8,2013,2013,Europe and Northern America,Southern Europe,2177,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2013,2013,Europe and Northern America,Southern Europe,6442,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2014,2014,Europe and Northern America,Southern Europe,1679,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2014,2014,Europe and Northern America,Southern Europe,5572,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2015,2015,Europe and Northern America,Southern Europe,5619,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2015,2015,Europe and Northern America,Southern Europe,1433,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2016,2016,Europe and Northern America,Southern Europe,1203,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Albania,8,2016,2016,Europe and Northern America,Southern Europe,1206,,,No,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Albania,8,2017,2017,Europe and Northern America,Southern Europe,1193,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,1990,1990,Western Asia and Northern Africa,Western Asia,24611,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1991,1991,Western Asia and Northern Africa,Western Asia,23432,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1992,1992,Western Asia and Northern Africa,Western Asia,32287,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1993,1993,Western Asia and Northern Africa,Western Asia,33951,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1994,1994,Western Asia and Northern Africa,Western Asia,33280,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1995,1995,Western Asia and Northern Africa,Western Asia,28610,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1995,1995,Western Asia and Northern Africa,Western Asia,28700,,,Yes,Official Statistics,Henshaw 2001,Incomplete,Below survey of women,,,
Azerbaijan,31,1996,1996,Western Asia and Northern Africa,Western Asia,21718,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1996,1996,Western Asia and Northern Africa,Western Asia,28375,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,1997,1997,Western Asia and Northern Africa,Western Asia,18628,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1997,1997,Western Asia and Northern Africa,Western Asia,25182,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,1998,1998,Western Asia and Northern Africa,Western Asia,17042,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,1998,1998,Western Asia and Northern Africa,Western Asia,29914,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,1999,1999,Western Asia and Northern Africa,Western Asia,20878,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,1999,1999,Western Asia and Northern Africa,Western Asia,13811,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2000,2000,Western Asia and Northern Africa,Western Asia,17501,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,2000,2000,Western Asia and Northern Africa,Western Asia,13029,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2001,2001,Western Asia and Northern Africa,Western Asia,18332,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,1998,2001,Western Asia and Northern Africa,Western Asia,,116,,No,Survey, 2001 Azerbaijan RHS,,,Yes,All women,
Azerbaijan,31,2001,2001,Western Asia and Northern Africa,Western Asia,12361,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2002,2002,Western Asia and Northern Africa,Western Asia,16606,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,2002,2002,Western Asia and Northern Africa,Western Asia,11835,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2003,2003,Western Asia and Northern Africa,Western Asia,16903,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,2003,2003,Western Asia and Northern Africa,Western Asia,12012,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2004,2004,Western Asia and Northern Africa,Western Asia,19798,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2005,2005,Western Asia and Northern Africa,Western Asia,19600,7.8,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2005,2005,Western Asia and Northern Africa,Western Asia,19577,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,2006,2006,Western Asia and Northern Africa,Western Asia,20864,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2003,2006,Western Asia and Northern Africa,Western Asia,,71,,No,Survey,2006 Azerbaijan DHS,,,Yes,All women,
Azerbaijan,31,2007,2007,Western Asia and Northern Africa,Western Asia,22323,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2008,2008,Western Asia and Northern Africa,Western Asia,25247,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2008,2008,Western Asia and Northern Africa,Western Asia,20325,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2009,2009,Western Asia and Northern Africa,Western Asia,19897,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2009,2009,Western Asia and Northern Africa,Western Asia,24554,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2010,2010,Western Asia and Northern Africa,Western Asia,20075,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2010,2010,Western Asia and Northern Africa,Western Asia,26800,9.9,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2010,2010,Western Asia and Northern Africa,Western Asia,26799,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2011,2011,Western Asia and Northern Africa,Western Asia,21529,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2008,2011,Western Asia and Northern Africa,Western Asia,,50,,No,Survey, 2011 Azerbaijan DHS,,,Yes,All women,
Azerbaijan,31,2011,2011,Western Asia and Northern Africa,Western Asia,27787,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2012,2012,Western Asia and Northern Africa,Western Asia,25345,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2012,2012,Western Asia and Northern Africa,Western Asia,31037,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2012,2012,Western Asia and Northern Africa,Western Asia,,11.5,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2013,2013,Western Asia and Northern Africa,Western Asia,,10.4,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2013,2013,Western Asia and Northern Africa,Western Asia,23120,,,No,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2013,2013,Western Asia and Northern Africa,Western Asia,27900,10.4,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2013,2013,Western Asia and Northern Africa,Western Asia,27892,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2014,2014,Western Asia and Northern Africa,Western Asia,,10.1,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2014,2014,Western Asia and Northern Africa,Western Asia,27200,10.1,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2015,2015,Western Asia and Northern Africa,Western Asia,27452,,,Yes,Official Statistics,UNSD,Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2015,2015,Western Asia and Northern Africa,Western Asia,27500,10.3,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Acknowledged incomplete,Yes,,
Azerbaijan,31,2015,2015,Western Asia and Northern Africa,Western Asia,,10.3,,Yes,Official Statistics,Guttmacher Questionnaire (not publicly available),Incomplete,Acknowledged incomplete,,,
Azerbaijan,31,2016,2016,Western Asia and Northern Africa,Western Asia,34600,13,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
Azerbaijan,31,2016,2016,Western Asia and Northern Africa,Western Asia,34569,,,Yes,Official Statistics,UNSD,Incomplete,Below survey of women,,,
Azerbaijan,31,2017,2017,Western Asia and Northern Africa,Western Asia,37600,14.2,,Yes,Official Statistics,State Statistical Committee of the Republic of Azerbaijan,Incomplete,Below survey of women,Yes,,
Argentina,32,2000,2000,Latin America,South America,371965,40.8,,No,Study,Mario and Pantelides 2009,,,Yes,All women,
Australia,36,1990,1990,Australia and New Zealand,Australia and New Zealand,4463,13.4,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1990,1990,Australia and New Zealand,Australia and New Zealand,80113,19.9,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1991,1991,Australia and New Zealand,Australia and New Zealand,81430,20,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1991,1991,Australia and New Zealand,Australia and New Zealand,4496,14.1,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1992,1992,Australia and New Zealand,Australia and New Zealand,4717,14.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1992,1992,Australia and New Zealand,Australia and New Zealand,85003,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1993,1993,Australia and New Zealand,Australia and New Zealand,4959,15,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1993,1993,Australia and New Zealand,Australia and New Zealand,85153,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1994,1994,Australia and New Zealand,Australia and New Zealand,5140,15.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1994,1994,Australia and New Zealand,Australia and New Zealand,87965,21.5,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1995,1995,Australia and New Zealand,Australia and New Zealand,90182,21.9,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1995,1995,Australia and New Zealand,Australia and New Zealand,5475,16.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1996,1996,Australia and New Zealand,Australia and New Zealand,89076,21.5,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1996,1996,Australia and New Zealand,Australia and New Zealand,5545,17.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1997,1997,Australia and New Zealand,Australia and New Zealand,87497,21,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1997,1997,Australia and New Zealand,Australia and New Zealand,5609,17.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1998,1998,Australia and New Zealand,Australia and New Zealand,5488,17.2,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,1998,1998,Australia and New Zealand,Australia and New Zealand,86862,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1999,1999,Australia and New Zealand,Australia and New Zealand,8220,19.7,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,1999,1999,Australia and New Zealand,Australia and New Zealand,85731,20.4,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,1999,1999,Australia and New Zealand,Australia and New Zealand,5679,17.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2000,2000,Australia and New Zealand,Australia and New Zealand,86931,20.6,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,2000,2000,Australia and New Zealand,Australia and New Zealand,5580,17.6,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2000,2000,Australia and New Zealand,Australia and New Zealand,8337,19.9,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2001,2001,Australia and New Zealand,Australia and New Zealand,88306,20.8,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,2001,2001,Australia and New Zealand,Australia and New Zealand,5579,17.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2001,2001,Australia and New Zealand,Australia and New Zealand,8378,19.9,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2002,2002,Australia and New Zealand,Australia and New Zealand,8262,19.6,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2002,2002,Australia and New Zealand,Australia and New Zealand,5467,17.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2002,2002,Australia and New Zealand,Australia and New Zealand,86552,20.3,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,2003,2003,Australia and New Zealand,Australia and New Zealand,7941,18.7,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2003,2003,Australia and New Zealand,Australia and New Zealand,5216,16.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2003,2003,Australia and New Zealand,Australia and New Zealand,84460,19.7,,No,Study,Chan and Sage 2005,,,Yes,All women,
Australia,36,2004,2004,Australia and New Zealand,Australia and New Zealand,4931,15.9,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2004,2004,Australia and New Zealand,Australia and New Zealand,7869,18.4,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2005,2005,Australia and New Zealand,Australia and New Zealand,7829,18.2,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2005,2005,Australia and New Zealand,Australia and New Zealand,4715,15.3,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2006,2006,Australia and New Zealand,Australia and New Zealand,4889,15.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2006,2006,Australia and New Zealand,Australia and New Zealand,8336,19.1,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2007,2007,Australia and New Zealand,Australia and New Zealand,8424,19,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2007,2007,Australia and New Zealand,Australia and New Zealand,4885,15.4,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2008,2008,Australia and New Zealand,Australia and New Zealand,5101,16,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2008,2008,Australia and New Zealand,Australia and New Zealand,8668,19,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2009,2009,Australia and New Zealand,Australia and New Zealand,8885,18.8,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2009,2009,Australia and New Zealand,Australia and New Zealand,5057,15.6,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2010,2010,Australia and New Zealand,Australia and New Zealand,8415,17.5,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2010,2010,Australia and New Zealand,Australia and New Zealand,5048,15.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2011,2011,Australia and New Zealand,Australia and New Zealand,8683,17.4,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2011,2011,Australia and New Zealand,Australia and New Zealand,5010,15.5,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2012,2012,Australia and New Zealand,Australia and New Zealand,8429,16.4,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
Australia,36,2012,2012,Australia and New Zealand,Australia and New Zealand,4765,14.7,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2013,2013,Australia and New Zealand,Australia and New Zealand,4681,14.4,,No,Official Statistics,"Government of South Australia, Pregnancy Outcome Unit",Incomplete,Acknowledged incomplete,Yes,,Southern Australia only
Australia,36,2013,2013,Australia and New Zealand,Australia and New Zealand,8509,15.9,,No,Official Statistics,"Government of Western Australia, Department of Health",Incomplete,Acknowledged incomplete,Yes,,Western Australia only
