"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Lithuania",440,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Luxembourg",442,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6",6,"2005"
"Madagascar",450,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Malawi",454,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Malaysia",458,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Maldives",462,"Asia","Less dev. region","No","Direct support","1,2",2,"2005"
"Mali",466,"Africa","Less dev. region","Yes","Direct support","1,4",2,"2005"
"Malta",470,"Europe","More dev. region","No","No support","Not permitted",0,"2005"
"Marshall Islands",584,"Oceania","Less dev. region","No","Direct support","1",1,"2005"
"Mauritania",478,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Mauritius",480,"Africa","Less dev. region","No","Direct support","1",1,"2005"
"Mexico",484,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2005"
"Micronesia (Federated States of)",583,"Oceania","Less dev. region","No","Direct support","1",1,"2005"
"Monaco",492,"Europe","More dev. region","No","No support","1",1,"2005"
"Mongolia",496,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Morocco",504,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Mozambique",508,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Myanmar",104,"Asia","Less dev. region","Yes","Direct support","1",1,"2005"
"Namibia",516,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Nauru",520,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Nepal",524,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2005"
"Netherlands",528,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"New Zealand",554,"Oceania","More dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Nicaragua",558,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Niger",562,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Nigeria",566,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Niue",570,"Oceania","Less dev. region","No","Indirect support","1,2,3",3,"2005"
"Norway",578,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Oman",512,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Pakistan",586,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Palau",585,"Oceania","Less dev. region","No","Indirect support","1",1,"2005"
"Panama",591,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,3,4",3,"2005"
"Papua New Guinea",598,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Paraguay",600,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Peru",604,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Philippines",608,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Poland",616,"Europe","More dev. region","No","Indirect support","1,2,3,4,5",5,"2005"
"Portugal",620,"Europe","More dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Qatar",634,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2005"
"Republic of Korea",410,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Republic of Moldova",498,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Romania",642,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Russian Federation",643,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Rwanda",646,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Saint Kitts and Nevis",659,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Saint Lucia",662,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Saint Vincent and the Grenadines",670,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2005"
"Samoa",882,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"San Marino",674,"Europe","More dev. region","No","No support","1",1,"2005"
"Sao Tome and Principe",678,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Saudi Arabia",682,"Asia","Less dev. region","No","Indirect support","1,2,3",3,"2005"
"Senegal",686,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Serbia and Montenegro",891,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Seychelles",690,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2005"
"Sierra Leone",694,"Africa","Less dev. region","Yes","Indirect support","1,2,3",3,"2005"
"Singapore",702,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Slovakia",703,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2005"
"Slovenia",705,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Solomon Islands",90,"Oceania","Less dev. region","Yes","No support","1",1,"2005"
"Somalia",706,"Africa","Less dev. region","Yes","Indirect support","1",1,"2005"
"South Africa",710,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Spain",724,"Europe","More dev. region","No","Indirect support","1,2,3,4,5",5,"2005"
"Sri Lanka",144,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Sudan (including South Sudan)",736,"Africa","Less dev. region","No","Direct support","1,4",2,"2005"
"Suriname",740,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1",1,"2005"
"Swaziland",748,"Africa","Less dev. region","No","Direct support","1,2,3,5",4,"2005"
"Sweden",752,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Switzerland",756,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Syrian Arab Republic",760,"Asia","Less dev. region","No","Direct support","1",1,"2005"
"Tajikistan",762,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Thailand",764,"Asia","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"The former Yugoslav Rep. of Macedonia",807,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Timor-Leste",626,"Asia","Less dev. region","Yes","Direct support","No data available",NA,"2005"
"Togo",768,"Africa","Less dev. region","Yes","Direct support","1",1,"2005"
"Tonga",776,"Oceania","Less dev. region","No","Direct support","1",1,"2005"
"Trinidad and Tobago",780,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2005"
"Tunisia",788,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Turkey",792,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Turkmenistan",795,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"Tuvalu",798,"Oceania","Less dev. region","Yes","Direct support","1",1,"2005"
"Uganda",800,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Ukraine",804,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2005"
"United Arab Emirates",784,"Asia","Less dev. region","No","No support","1",1,"2005"
"United Kingdom",826,"Europe","More dev. region","No","Direct support","1,2,3,5,6",5,"2005"
"United Republic of Tanzania",834,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"United States of America",840,"Northern America","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Uruguay",858,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2005"
"Uzbekistan",860,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Vanuatu",548,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2005"
"Venezuela (Bolivarian Republic of)",862,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2005"
"Viet Nam",704,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2005"
"Yemen",887,"Asia","Less dev. region","Yes","Direct support","1",1,"2005"
"Zambia",894,"Africa","Less dev. region","Yes","Direct support","1,2,3,5,6",5,"2005"
"Zimbabwe",716,"Africa","Less dev. region","No","Direct support","1,2,4,5",4,"2005"
