"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Micronesia (Federated States of)",583,"Oceania","Less dev. region","No","Direct support","1",1,"2013"
"Monaco",492,"Europe","More dev. region","No","No support","1,4,5",3,"2013"
"Mongolia",496,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Montenegro",499,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Morocco",504,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Mozambique",508,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Myanmar",104,"Asia","Less dev. region","Yes","Direct support","1",1,"2013"
"Namibia",516,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Nauru",520,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Nepal",524,"Asia","Less dev. region","Yes","Direct support","1,2,3,4,5,6,7",7,"2013"
"Netherlands",528,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"New Zealand",554,"Oceania","More dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Nicaragua",558,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","Not permitted",0,"2013"
"Niger",562,"Africa","Less dev. region","Yes","Direct support","1,2,3,5",4,"2013"
"Nigeria",566,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Niue",570,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Norway",578,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Oman",512,"Asia","Less dev. region","No","Direct support","1,5",2,"2013"
"Pakistan",586,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Palau",585,"Oceania","Less dev. region","No","Direct support","1",1,"2013"
"Panama",591,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4,5",3,"2013"
"Papua New Guinea",598,"Oceania","Less dev. region","No","Direct support","1",1,"2013"
"Paraguay",600,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Peru",604,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Philippines",608,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"Poland",616,"Europe","More dev. region","No","No support","1,2,3,4,5",5,"2013"
"Portugal",620,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Qatar",634,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2013"
"Republic of Korea",410,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Republic of Moldova",498,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Romania",642,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Russian Federation",643,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"Rwanda",646,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Saint Kitts and Nevis",659,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2013"
"Saint Lucia",662,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2013"
"Saint Vincent and the Grenadines",670,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2013"
"Samoa",882,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"San Marino",674,"Europe","More dev. region","No","No support","1",1,"2013"
"Sao Tome and Principe",678,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Saudi Arabia",682,"Asia","Less dev. region","No","No support","1,2,3",3,"2013"
"Senegal",686,"Africa","Less dev. region","Yes","Direct support","1",1,"2013"
"Serbia",688,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Seychelles",690,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"Sierra Leone",694,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Singapore",702,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Slovakia",703,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2013"
"Slovenia",705,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Solomon Islands",90,"Oceania","Less dev. region","Yes","Direct support","1",1,"2013"
"Somalia",706,"Africa","Less dev. region","Yes","Indirect support","1",1,"2013"
"South Africa",710,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"South Sudan",728,"Africa","Less dev. region","Yes","Direct support","No data available",NA,"2013"
"Spain",724,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Sri Lanka",144,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"State of Palestine",275,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"Sudan",729,"Africa","Less dev. region","Yes","Direct support","1,4,5",3,"2013"
"Suriname",740,"Latin Amer. & Caribbean","Less dev. region","No","Indirect support","1",1,"2013"
"Swaziland",748,"Africa","Less dev. region","No","Direct support","1,2,3,5",4,"2013"
"Sweden",752,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Switzerland",756,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2013"
"Syrian Arab Republic",760,"Asia","Less dev. region","No","Direct support","1",1,"2013"
"Tajikistan",762,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Thailand",764,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2013"
"The former Yugoslav Rep. of Macedonia",807,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Timor-Leste",626,"Asia","Less dev. region","Yes","Direct support","1",1,"2013"
"Togo",768,"Africa","Less dev. region","Yes","Direct support","1,2,4,5",4,"2013"
"Tonga",776,"Oceania","Less dev. region","No","Direct support","1",1,"2013"
"Trinidad and Tobago",780,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2013"
"Tunisia",788,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Turkey",792,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Turkmenistan",795,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Tuvalu",798,"Oceania","Less dev. region","Yes","Direct support","1",1,"2013"
"Uganda",800,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2013"
"Ukraine",804,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2013"
"United Arab Emirates",784,"Asia","Less dev. region","No","No support","1,2,3",3,"2013"
"United Kingdom",826,"Europe","More dev. region","No","Direct support","1,2,3,5,6",5,"2013"
"United Republic of Tanzania",834,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"United States of America",840,"Northern America","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Uruguay",858,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Uzbekistan",860,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Vanuatu",548,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2013"
"Venezuela (Bolivarian Republic of)",862,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2013"
"Viet Nam",704,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2013"
"Yemen",887,"Asia","Less dev. region","Yes","Direct support","1",1,"2013"
"Zambia",894,"Africa","Less dev. region","Yes","Direct support","1,2,3,5,6",5,"2013"
"Zimbabwe",716,"Africa","Less dev. region","No","Direct support","1,2,4,5",4,"2013"
