"country_name","country_code","region","development_level","least_developed_country","government_support","grounds","flexibility_score","year"
"Greece",300,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2001"
"Grenada",308,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Guatemala",320,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Guinea",324,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Guinea-Bissau",624,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Guyana",328,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Haiti",332,"Latin Amer. & Caribbean","Less dev. region","Yes","Direct support","1",1,"2001"
"Holy See",336,"Europe","More dev. region","No","Limits","Not permitted",0,"2001"
"Honduras",340,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Hungary",348,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Iceland",352,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6",6,"2001"
"India",356,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2001"
"Indonesia",360,"Asia","Less dev. region","No","Direct support","1",1,"2001"
"Iran (Islamic Republic of)",364,"Asia","Less dev. region","No","Direct support","1",1,"2001"
"Iraq",368,"Asia","Less dev. region","No","Direct support","No data available",NA,"2001"
"Ireland",372,"Europe","More dev. region","No","Direct support","1",1,"2001"
"Israel",376,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5",5,"2001"
"Italy",380,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2001"
"Jamaica",388,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Japan",392,"Asia","More dev. region","No","Indirect support","1,2,4,6",4,"2001"
"Jordan",400,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Kazakhstan",398,"Asia","Less dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Kenya",404,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Kiribati",296,"Oceania","Less dev. region","Yes","Direct support","1",1,"2001"
"Kuwait",414,"Asia","Less dev. region","No","Indirect support","1,2,3,5",4,"2001"
"Kyrgyzstan",417,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Lao People's Democratic Republic",418,"Asia","Less dev. region","Yes","No support","1",1,"2001"
"Latvia",428,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Lebanon",422,"Asia","Less dev. region","No","Indirect support","1",1,"2001"
"Lesotho",426,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Liberia",430,"Africa","Less dev. region","Yes","Direct support","1,2,3,4,5",5,"2001"
"Libya",434,"Africa","Less dev. region","No","No support","1",1,"2001"
"Liechtenstein",438,"Europe","More dev. region","No","Direct support","1,2,3",3,"2001"
"Lithuania",440,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Luxembourg",442,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6",6,"2001"
"Madagascar",450,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Malawi",454,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Malaysia",458,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Maldives",462,"Asia","Less dev. region","No","Direct support","1,2",2,"2001"
"Mali",466,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Malta",470,"Europe","More dev. region","No","Indirect support","Not permitted",0,"2001"
"Marshall Islands",584,"Oceania","Less dev. region","No","Direct support","1",1,"2001"
"Mauritania",478,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Mauritius",480,"Africa","Less dev. region","No","Direct support","1",1,"2001"
"Mexico",484,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,4",2,"2001"
"Micronesia (Federated States of)",583,"Oceania","Less dev. region","No","Direct support","1",1,"2001"
"Monaco",492,"Europe","More dev. region","No","No support","1",1,"2001"
"Mongolia",496,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Morocco",504,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Mozambique",508,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Myanmar",104,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Namibia",516,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Nauru",520,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Nepal",524,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Netherlands",528,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"New Zealand",554,"Oceania","More dev. region","No","Indirect support","1,2,3,4,5",5,"2001"
"Nicaragua",558,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Niger",562,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Nigeria",566,"Africa","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Niue",570,"Oceania","Less dev. region","No","Indirect support","1,2,3",3,"2001"
"Norway",578,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Oman",512,"Asia","Less dev. region","No","No support","1",1,"2001"
"Pakistan",586,"Asia","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Palau",585,"Oceania","Less dev. region","No","Indirect support","1",1,"2001"
"Panama",591,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,3,4",3,"2001"
"Papua New Guinea",598,"Oceania","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Paraguay",600,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Peru",604,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Philippines",608,"Asia","Less dev. region","No","Direct support","1",1,"2001"
"Poland",616,"Europe","More dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Portugal",620,"Europe","More dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Qatar",634,"Asia","Less dev. region","No","Direct support","1,2,3,5",4,"2001"
"Republic of Korea",410,"Asia","Less dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Republic of Moldova",498,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Romania",642,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Russian Federation",643,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Rwanda",646,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Saint Kitts and Nevis",659,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Saint Lucia",662,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Saint Vincent and the Grenadines",670,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4,5,6",6,"2001"
"Samoa",882,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"San Marino",674,"Europe","More dev. region","No","No support","1",1,"2001"
"Sao Tome and Principe",678,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Saudi Arabia",682,"Asia","Less dev. region","No","Indirect support","1,2,3",3,"2001"
"Senegal",686,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Serbia and Montenegro",891,"Europe","More dev. region","No","Indirect support","1,2,3,4,5,6,7",7,"2001"
"Seychelles",690,"Africa","Less dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Sierra Leone",694,"Africa","Less dev. region","Yes","Indirect support","1,2,3",3,"2001"
"Singapore",702,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Slovakia",703,"Europe","More dev. region","No","No support","1,2,3,4,5,6,7",7,"2001"
"Slovenia",705,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Solomon Islands",90,"Oceania","Less dev. region","Yes","Direct support","1",1,"2001"
"Somalia",706,"Africa","Less dev. region","Yes","Indirect support","1",1,"2001"
"South Africa",710,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Spain",724,"Europe","More dev. region","No","Direct support","1,2,3,4,5",5,"2001"
"Sri Lanka",144,"Asia","Less dev. region","No","Direct support","1",1,"2001"
"Sudan (including South Sudan)",736,"Africa","Less dev. region","No","Direct support","1,4",2,"2001"
"Suriname",740,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Swaziland",748,"Africa","Less dev. region","No","Direct support","1",1,"2001"
"Sweden",752,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Switzerland",756,"Europe","More dev. region","No","No support","1,2,3",3,"2001"
"Syrian Arab Republic",760,"Asia","Less dev. region","No","Direct support","1",1,"2001"
"Tajikistan",762,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Thailand",764,"Asia","Less dev. region","No","Direct support","1,2,3,4",4,"2001"
"The former Yugoslav Rep. of Macedonia",807,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Togo",768,"Africa","Less dev. region","Yes","Direct support","1",1,"2001"
"Tonga",776,"Oceania","Less dev. region","No","Direct support","1",1,"2001"
"Trinidad and Tobago",780,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3",3,"2001"
"Tunisia",788,"Africa","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Turkey",792,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Turkmenistan",795,"Asia","Less dev. region","No","No support","1,2,3,4,5,6,7",7,"2001"
"Tuvalu",798,"Oceania","Less dev. region","Yes","Direct support","1",1,"2001"
"Uganda",800,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Ukraine",804,"Europe","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"United Arab Emirates",784,"Asia","Less dev. region","No","No support","1",1,"2001"
"United Kingdom",826,"Europe","More dev. region","No","Direct support","1,2,3,5,6",5,"2001"
"United Republic of Tanzania",834,"Africa","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"United States of America",840,"Northern America","More dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Uruguay",858,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1,2,3,4",4,"2001"
"Uzbekistan",860,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Vanuatu",548,"Oceania","Less dev. region","Yes","Direct support","1,2,3",3,"2001"
"Venezuela (Bolivarian Republic of)",862,"Latin Amer. & Caribbean","Less dev. region","No","Direct support","1",1,"2001"
"Viet Nam",704,"Asia","Less dev. region","No","Direct support","1,2,3,4,5,6,7",7,"2001"
"Yemen",887,"Asia","Less dev. region","Yes","Direct support","1",1,"2001"
"Zambia",894,"Africa","Less dev. region","Yes","Direct support","1,2,3,5,6",5,"2001"
"Zimbabwe",716,"Africa","Less dev. region","No","Direct support","1,2,4,5",4,"2001"
